PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
19910;Honda;Male;Married;40;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision;0
6297;Mazda;Male;Married;75;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
25614;VW;Male;Married;44;Sedan;more than 69000;400;1;more than 4;6 years;External;1 vehicle;All Perils;0
3696;Pontiac;Male;Married;63;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Collision;0
31438;Pontiac;Male;Single;32;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;1 vehicle;All Perils;1
39726;Toyota;Male;Married;37;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision;0
25947;Toyota;Male;Married;47;Sport;20000 to 29000;400;1;none;more than 7;External;2 vehicles;Liability;0
33965;Chevrolet;Male;Married;38;Utility;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;All Perils;0
14798;Dodge;Male;Married;39;Sport;more than 69000;400;2;1;7 years;External;1 vehicle;Liability;0
19441;Accura;Male;Single;31;Sedan;30000 to 39000;400;2;none;6 years;External;1 vehicle;All Perils;0
5580;Chevrolet;Male;Married;26;Sport;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
2966;Mazda;Male;Married;76;Sport;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Liability;0
17681;Mazda;Male;Married;30;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
20757;Pontiac;Female;Married;28;Sedan;20000 to 29000;400;4;more than 4;5 years;External;1 vehicle;Collision;0
125;Mazda;Male;Married;54;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
40717;Mazda;Male;Single;28;Sedan;20000 to 29000;400;2;more than 4;7 years;External;1 vehicle;Collision;0
29152;Honda;Male;Married;29;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
21964;Chevrolet;Female;Married;47;Sedan;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;1
11610;Honda;Male;Single;37;Sedan;30000 to 39000;400;3;1;7 years;External;1 vehicle;All Perils;0
9000;Pontiac;Male;Single;33;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
24977;Chevrolet;Male;Married;32;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;All Perils;1
46159;Honda;Male;Married;44;Sedan;20000 to 29000;400;1;none;more than 7;External;2 vehicles;Collision;0
24771;Mazda;Male;Single;28;Sport;30000 to 39000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
12997;Honda;Male;Single;0;Sedan;more than 69000;400;4;2 to 4;new;External;1 vehicle;All Perils;0
41539;Toyota;Male;Married;43;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
11816;Honda;Male;Married;55;Sport;more than 69000;400;1;1;7 years;External;1 vehicle;Liability;0
28735;Pontiac;Male;Married;29;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;0
23209;Mazda;Male;Married;55;Sport;30000 to 39000;400;1;1;7 years;External;1 vehicle;Liability;0
10089;Honda;Male;Married;61;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
8612;Mazda;Female;Single;26;Sport;20000 to 29000;400;3;1;5 years;External;1 vehicle;Liability;0
24785;Chevrolet;Male;Married;34;Sedan;30000 to 39000;400;3;more than 4;7 years;External;1 vehicle;Collision;0
13758;Pontiac;Male;Married;42;Sedan;20000 to 29000;400;2;1;7 years;External;1 vehicle;All Perils;1
37685;Pontiac;Male;Married;42;Sedan;less than 20000;400;2;2 to 4;7 years;External;1 vehicle;All Perils;0
20087;Pontiac;Male;Single;21;Sedan;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Collision;0
22880;Chevrolet;Male;Married;50;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
30118;Toyota;Male;Married;54;Sedan;20000 to 29000;400;2;none;more than 7;External;1 vehicle;All Perils;0
12983;Pontiac;Male;Married;42;Sedan;more than 69000;400;3;1;more than 7;External;1 vehicle;Collision;0
35251;Toyota;Male;Married;57;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
35734;Toyota;Female;Single;31;Sport;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Liability;0
12348;Jaguar;Female;Single;29;Sport;30000 to 39000;400;1;2 to 4;5 years;External;1 vehicle;Liability;0
18081;Honda;Male;Single;0;Sedan;more than 69000;400;3;none;new;External;1 vehicle;All Perils;0
4545;Mazda;Female;Single;42;Sport;30000 to 39000;500;1;1;7 years;External;1 vehicle;Liability;0
17767;Pontiac;Male;Married;27;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
21756;Chevrolet;Male;Single;28;Sedan;20000 to 29000;400;3;none;7 years;External;2 vehicles;Collision;0
20236;Chevrolet;Male;Single;27;Sport;20000 to 29000;400;1;1;6 years;External;1 vehicle;Liability;0
14143;Toyota;Male;Married;72;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision;0
40275;Pontiac;Male;Married;44;Sport;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
12518;Toyota;Male;Married;60;Sedan;more than 69000;400;2;2 to 4;5 years;External;1 vehicle;All Perils;0
32254;Pontiac;Male;Married;27;Sedan;30000 to 39000;400;1;1;7 years;External;1 vehicle;Collision;1
17545;Ford;Male;Married;47;Sport;60000 to 69000;400;2;none;more than 7;External;1 vehicle;Liability;0
20461;Pontiac;Male;Single;42;Sport;20000 to 29000;400;3;1;7 years;External;1 vehicle;Liability;0
7435;Mazda;Male;Married;47;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
38478;Ford;Male;Married;27;Sedan;30000 to 39000;400;4;more than 4;6 years;External;1 vehicle;Collision;0
37561;Accura;Male;Married;33;Sedan;30000 to 39000;400;3;more than 4;6 years;External;2 vehicles;All Perils;0
46308;VW;Male;Married;64;Sedan;more than 69000;400;1;1;more than 7;External;1 vehicle;All Perils;1
45279;Toyota;Female;Married;62;Sport;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
14674;Chevrolet;Female;Married;63;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
24952;Mazda;Male;Married;45;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision;0
25173;Ford;Male;Married;48;Utility;more than 69000;400;4;none;more than 7;External;1 vehicle;All Perils;0
27947;Toyota;Female;Married;60;Sport;less than 20000;400;1;1;5 years;External;1 vehicle;Liability;0
38766;Honda;Male;Single;26;Sport;20000 to 29000;400;1;1;7 years;External;1 vehicle;Liability;0
35347;Mazda;Male;Single;31;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;0
2658;Pontiac;Female;Married;36;Sport;20000 to 29000;400;3;more than 4;6 years;External;1 vehicle;Liability;0
34542;Chevrolet;Male;Single;31;Sedan;20000 to 29000;400;1;none;5 years;External;1 vehicle;Collision;0
8827;Toyota;Female;Married;54;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision;0
37080;Pontiac;Male;Single;18;Sedan;20000 to 29000;400;2;none;2 years;External;1 vehicle;Collision;0
18216;Toyota;Female;Single;26;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
26135;Pontiac;Male;Married;53;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
32240;Chevrolet;Female;Single;40;Sport;30000 to 39000;700;3;2 to 4;7 years;External;1 vehicle;Liability;0
29739;Accura;Female;Married;34;Sedan;20000 to 29000;400;3;1;5 years;External;1 vehicle;Collision;0
37116;Chevrolet;Male;Married;62;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
26886;Pontiac;Female;Married;30;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;Collision;0
45918;Honda;Male;Single;29;Sport;30000 to 39000;400;4;2 to 4;5 years;External;3 to 4;Liability;0
32943;Toyota;Male;Married;31;Sedan;more than 69000;400;3;2 to 4;6 years;External;1 vehicle;All Perils;0
31550;Chevrolet;Male;Married;39;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
18349;Ford;Male;Married;37;Sedan;30000 to 39000;400;3;none;more than 7;External;3 to 4;Collision;0
33288;Toyota;Female;Married;42;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;Collision;0
31683;Mazda;Male;Married;39;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
37767;Dodge;Male;Married;48;Sport;30000 to 39000;400;1;1;more than 7;External;1 vehicle;Liability;0
21440;Accura;Male;Married;64;Sedan;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Collision;0
39365;Pontiac;Male;Married;39;Sport;30000 to 39000;400;4;1;7 years;External;1 vehicle;Liability;0
20657;Toyota;Male;Single;31;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
22818;Honda;Female;Single;24;Sport;more than 69000;400;2;none;5 years;External;1 vehicle;Collision;1
19035;Saturn;Male;Married;53;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
4325;Mazda;Male;Single;34;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
8074;Toyota;Male;Married;63;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision;0
2075;Honda;Male;Single;0;Sedan;more than 69000;400;2;1;new;External;1 vehicle;All Perils;0
37146;Honda;Male;Married;45;Sport;more than 69000;400;4;1;7 years;External;1 vehicle;Liability;0
34281;Toyota;Male;Single;56;Sedan;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
44921;Mazda;Male;Married;63;Sport;20000 to 29000;400;3;1;more than 7;External;1 vehicle;Liability;0
32784;Mercury;Male;Single;31;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
15884;Dodge;Female;Married;42;Sedan;30000 to 39000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
10843;Honda;Male;Married;49;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;2 vehicles;Liability;0
48381;Mazda;Male;Married;55;Sedan;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
44237;Chevrolet;Male;Single;25;Sport;20000 to 29000;400;1;1;5 years;External;1 vehicle;Liability;0
13311;Pontiac;Male;Married;48;Sport;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
3634;Toyota;Male;Married;29;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
13178;Toyota;Male;Single;21;Sedan;30000 to 39000;400;3;2 to 4;5 years;External;1 vehicle;Collision;0
41134;Chevrolet;Male;Married;42;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
8268;Mazda;Male;Single;23;Sedan;20000 to 29000;400;1;1;5 years;External;1 vehicle;All Perils;0
473;Ford;Male;Married;47;Sedan;30000 to 39000;400;4;1;more than 7;External;1 vehicle;Collision;0
2116;Pontiac;Female;Single;41;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;0
22143;Pontiac;Male;Single;29;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
44549;Accura;Male;Married;46;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;All Perils;0
43223;Saturn;Male;Married;39;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
7712;Toyota;Female;Single;24;Sedan;20000 to 29000;400;2;2 to 4;4 years;External;1 vehicle;Collision;0
40329;Mazda;Male;Single;28;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
47381;Honda;Male;Married;67;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Collision;0
9826;Ford;Male;Married;49;Utility;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
20903;Chevrolet;Male;Married;30;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;Collision;1
34711;BMW;Male;Married;45;Sport;more than 69000;400;3;2 to 4;more than 7;Internal;1 vehicle;Liability;0
30156;Pontiac;Male;Married;52;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;All Perils;0
13776;Honda;Female;Single;28;Sport;20000 to 29000;400;2;more than 4;6 years;External;1 vehicle;Liability;0
13136;Pontiac;Male;Married;30;Sedan;30000 to 39000;400;4;none;7 years;External;1 vehicle;Collision;0
24179;Ford;Male;Married;58;Sedan;more than 69000;400;1;none;more than 7;External;1 vehicle;Collision;0
7333;Honda;Male;Single;0;Sedan;more than 69000;400;3;1;new;External;1 vehicle;Collision;0
40681;Saab;Female;Single;31;Sedan;30000 to 39000;400;4;none;7 years;External;1 vehicle;All Perils;0
3523;Honda;Male;Married;26;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
40340;Toyota;Male;Married;39;Sport;30000 to 39000;400;2;2 to 4;7 years;External;2 vehicles;Liability;0
33203;Honda;Male;Married;28;Sport;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
2108;Mazda;Male;Married;39;Sport;30000 to 39000;400;2;none;7 years;External;1 vehicle;Liability;0
5881;Accura;Male;Married;34;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
40507;Mazda;Male;Married;36;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision;0
47296;Honda;Male;Single;29;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
3866;Pontiac;Male;Single;30;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
15528;Mazda;Male;Married;54;Sport;30000 to 39000;400;4;1;7 years;External;1 vehicle;Liability;0
3644;Honda;Male;Married;51;Sedan;20000 to 29000;400;4;more than 4;more than 7;External;3 to 4;Collision;0
21221;Pontiac;Male;Married;48;Sedan;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
9071;Honda;Male;Married;29;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
33755;Pontiac;Male;Married;36;Sedan;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
9124;Mazda;Male;Single;22;Sedan;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Collision;0
31535;Honda;Male;Single;28;Sport;20000 to 29000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
22936;Mazda;Male;Married;35;Sedan;30000 to 39000;400;1;none;7 years;External;1 vehicle;All Perils;0
22734;Chevrolet;Female;Single;34;Sedan;20000 to 29000;400;4;none;6 years;External;2 vehicles;Collision;0
19561;Pontiac;Male;Single;26;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
46073;Pontiac;Female;Single;35;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
13581;Pontiac;Male;Single;32;Sedan;20000 to 29000;400;3;1;6 years;External;3 to 4;Collision;0
12979;Chevrolet;Male;Married;50;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;All Perils;0
18267;Toyota;Male;Married;44;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Collision;0
35684;Toyota;Male;Married;52;Sedan;30000 to 39000;400;2;1;more than 7;External;1 vehicle;Collision;0
46111;Toyota;Female;Single;30;Sport;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Liability;0
32796;Honda;Male;Married;63;Sedan;30000 to 39000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
1609;Toyota;Male;Single;40;Sport;30000 to 39000;500;3;more than 4;7 years;External;1 vehicle;Liability;0
34526;Honda;Male;Married;51;Sport;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Liability;0
11273;Dodge;Female;Married;42;Sedan;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
13838;Ford;Male;Married;54;Sedan;20000 to 29000;400;1;none;more than 7;External;2 vehicles;All Perils;0
18565;Chevrolet;Male;Single;30;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;All Perils;0
9367;Toyota;Male;Married;58;Sedan;20000 to 29000;700;1;2 to 4;more than 7;External;1 vehicle;Collision;0
8862;Pontiac;Female;Single;26;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability;0
31493;Mazda;Male;Married;65;Sport;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
29075;Toyota;Male;Single;32;Sport;30000 to 39000;400;4;2 to 4;7 years;External;3 to 4;Liability;0
24333;Chevrolet;Male;Married;60;Utility;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
15805;Honda;Female;Married;44;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
24584;Chevrolet;Male;Married;32;Sport;20000 to 29000;400;2;2 to 4;6 years;External;2 vehicles;Liability;0
47681;Pontiac;Male;Single;23;Sedan;20000 to 29000;400;3;1;4 years;External;1 vehicle;Collision;0
45311;Toyota;Male;Married;76;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
47406;Pontiac;Male;Married;65;Sport;20000 to 29000;400;4;more than 4;more than 7;External;1 vehicle;Liability;0
24279;Pontiac;Male;Married;51;Sedan;less than 20000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
41987;Mazda;Male;Married;34;Sedan;20000 to 29000;300;4;1;5 years;External;1 vehicle;All Perils;1
46630;Honda;Male;Married;41;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
27864;Pontiac;Male;Single;29;Sedan;20000 to 29000;400;2;1;5 years;External;2 vehicles;Collision;0
7087;Mazda;Male;Married;29;Sedan;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;All Perils;0
43240;Chevrolet;Male;Married;42;Sedan;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Collision;0
30647;Toyota;Male;Married;41;Sport;20000 to 29000;400;3;1;6 years;External;1 vehicle;Liability;0
5247;Ford;Male;Married;48;Sport;40000 to 59000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
39697;Saturn;Male;Married;33;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
10847;Pontiac;Male;Single;19;Sedan;less than 20000;400;1;2 to 4;2 years;External;1 vehicle;All Perils;0
21031;Toyota;Male;Married;51;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;0
30809;Mazda;Male;Single;26;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Collision;0
10879;Honda;Male;Married;56;Sport;more than 69000;500;2;none;more than 7;External;1 vehicle;Collision;0
12373;VW;Male;Married;58;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
8570;VW;Male;Married;50;Sedan;40000 to 59000;400;3;none;7 years;External;1 vehicle;All Perils;0
29902;Ford;Male;Married;46;Sport;30000 to 39000;400;4;1;more than 7;External;1 vehicle;Liability;0
5711;Honda;Male;Single;0;Sport;more than 69000;400;1;2 to 4;new;External;1 vehicle;Liability;0
1799;Toyota;Male;Married;41;Sedan;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
41157;Mazda;Male;Married;51;Utility;more than 69000;700;4;1;more than 7;External;1 vehicle;All Perils;0
24108;Pontiac;Male;Single;26;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;All Perils;0
39305;Pontiac;Male;Married;28;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;All Perils;0
29285;Toyota;Male;Married;50;Sedan;less than 20000;400;3;none;more than 7;External;1 vehicle;All Perils;0
32702;Pontiac;Male;Single;31;Sedan;less than 20000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
17059;Pontiac;Male;Married;40;Sedan;30000 to 39000;400;1;2 to 4;5 years;External;1 vehicle;Collision;1
44576;Accura;Male;Married;37;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
39051;Chevrolet;Female;Single;58;Sedan;20000 to 29000;500;4;2 to 4;7 years;External;2 vehicles;Collision;0
23701;Mazda;Male;Married;48;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils;0
8684;Honda;Male;Married;34;Sedan;20000 to 29000;400;2;1;7 years;External;2 vehicles;Collision;0
23922;Toyota;Male;Married;27;Sport;30000 to 39000;400;3;none;7 years;External;1 vehicle;Liability;0
43119;Toyota;Female;Single;28;Sedan;20000 to 29000;400;4;none;5 years;External;1 vehicle;All Perils;0
30571;Pontiac;Male;Single;33;Sedan;30000 to 39000;400;2;1;6 years;External;1 vehicle;Collision;1
26608;Honda;Female;Single;29;Sedan;less than 20000;400;4;none;6 years;External;1 vehicle;All Perils;0
39139;Pontiac;Female;Married;64;Sedan;40000 to 59000;400;3;none;more than 7;External;1 vehicle;Collision;0
38729;Toyota;Male;Married;41;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;Collision;0
1444;Honda;Male;Married;57;Sport;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Liability;0
24834;Pontiac;Female;Married;27;Sedan;20000 to 29000;400;1;1;5 years;External;1 vehicle;Collision;0
4136;Toyota;Male;Married;59;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
1373;Pontiac;Male;Married;45;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;Collision;0
47540;Mazda;Male;Married;43;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;All Perils;1
32342;Pontiac;Male;Married;64;Sedan;less than 20000;400;4;none;more than 7;External;1 vehicle;All Perils;0
48570;Honda;Male;Single;0;Sedan;more than 69000;400;3;1;new;External;1 vehicle;All Perils;0
36903;Pontiac;Male;Married;38;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
44393;Toyota;Female;Married;46;Sport;20000 to 29000;400;2;more than 4;7 years;External;1 vehicle;Liability;0
36193;Honda;Female;Married;57;Sedan;less than 20000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
17578;Mazda;Male;Married;47;Sport;20000 to 29000;400;4;none;more than 7;External;2 vehicles;Liability;0
30879;Honda;Male;Married;51;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
33492;Honda;Male;Married;62;Sport;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
45849;Chevrolet;Male;Single;56;Sedan;30000 to 39000;400;2;1;more than 7;External;1 vehicle;Collision;0
40758;Chevrolet;Male;Married;80;Sport;more than 69000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
24903;Pontiac;Male;Married;57;Sedan;30000 to 39000;400;3;none;more than 7;External;1 vehicle;All Perils;0
41760;Honda;Female;Single;31;Sedan;20000 to 29000;400;3;none;4 years;External;1 vehicle;All Perils;0
14658;Ford;Male;Married;39;Sedan;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
3485;Ford;Male;Married;63;Sedan;40000 to 59000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
15003;Toyota;Male;Single;37;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
21530;Chevrolet;Female;Married;27;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;Collision;0
1596;Pontiac;Male;Married;72;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
25553;Toyota;Male;Married;62;Sport;20000 to 29000;400;4;none;6 years;External;1 vehicle;Liability;0
4373;Chevrolet;Male;Married;55;Sedan;30000 to 39000;700;2;1;more than 7;External;1 vehicle;All Perils;0
19417;Pontiac;Male;Married;54;Sport;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
44106;Pontiac;Male;Married;45;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision;1
38896;Saturn;Male;Married;40;Sport;60000 to 69000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
43912;Accura;Male;Married;41;Utility;more than 69000;400;1;none;7 years;External;3 to 4;All Perils;0
44374;Honda;Male;Single;44;Sedan;20000 to 29000;400;2;1;7 years;External;3 to 4;Collision;0
11988;Honda;Female;Married;45;Sport;more than 69000;400;4;1;5 years;External;1 vehicle;Collision;0
14632;Toyota;Male;Married;56;Sedan;more than 69000;400;3;more than 4;more than 7;External;1 vehicle;All Perils;0
3262;Ford;Female;Married;48;Sedan;60000 to 69000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
46218;Pontiac;Male;Married;39;Sedan;less than 20000;400;4;none;7 years;External;3 to 4;All Perils;0
18134;Chevrolet;Male;Married;43;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
22716;Chevrolet;Male;Married;56;Sport;20000 to 29000;400;3;none;7 years;External;1 vehicle;Liability;0
17956;Accura;Male;Married;55;Sedan;30000 to 39000;400;4;none;more than 7;External;1 vehicle;Collision;0
20419;Mazda;Male;Married;62;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
25299;Pontiac;Male;Married;72;Sedan;20000 to 29000;400;1;more than 4;more than 7;External;1 vehicle;Collision;0
7337;Mazda;Male;Married;44;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;2 vehicles;Collision;0
33992;Chevrolet;Male;Married;38;Sport;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
14290;Toyota;Male;Married;28;Sport;40000 to 59000;400;3;2 to 4;5 years;External;1 vehicle;Liability;0
25580;Pontiac;Female;Single;39;Sedan;20000 to 29000;400;3;none;5 years;External;1 vehicle;Collision;0
30528;Pontiac;Male;Married;36;Sedan;30000 to 39000;400;4;1;more than 7;External;1 vehicle;Collision;0
47682;Pontiac;Female;Married;35;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
2257;Accura;Male;Married;52;Sedan;30000 to 39000;400;2;more than 4;more than 7;External;1 vehicle;All Perils;0
29982;Pontiac;Male;Married;70;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
46226;Honda;Male;Married;39;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;All Perils;0
14512;Honda;Male;Single;0;Sedan;more than 69000;400;1;none;new;External;1 vehicle;Collision;0
30149;Chevrolet;Male;Married;50;Sport;40000 to 59000;400;4;1;more than 7;External;1 vehicle;Liability;0
7453;Chevrolet;Male;Married;48;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
3121;Ford;Male;Single;47;Sport;60000 to 69000;400;1;1;more than 7;External;1 vehicle;Liability;0
6082;Honda;Male;Married;46;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
7148;Honda;Male;Married;51;Sedan;30000 to 39000;500;3;none;more than 7;External;1 vehicle;All Perils;0
12519;Chevrolet;Female;Married;27;Sedan;20000 to 29000;400;3;none;6 years;External;2 vehicles;Collision;0
7856;Toyota;Female;Married;26;Sedan;20000 to 29000;400;2;1;5 years;External;1 vehicle;All Perils;0
40684;Mazda;Female;Married;64;Sport;20000 to 29000;400;2;more than 4;7 years;External;1 vehicle;Liability;0
13626;Toyota;Male;Married;41;Sport;20000 to 29000;400;1;more than 4;more than 7;External;1 vehicle;Liability;0
